graph_id,label,cohort_role,parent_edc_group
0,1,internal_nested_cv,0
1,1,internal_nested_cv,1
2,1,internal_nested_cv,2
3,1,internal_nested_cv,3
4,1,internal_nested_cv,4
5,1,internal_nested_cv,5
6,1,internal_nested_cv,6
7,1,internal_nested_cv,7
8,1,internal_nested_cv,8
9,1,internal_nested_cv,9
10,1,internal_nested_cv,10
11,1,internal_nested_cv,11
12,1,internal_nested_cv,12
13,1,internal_nested_cv,13
14,1,internal_nested_cv,14
15,1,internal_nested_cv,15
16,1,internal_nested_cv,16
17,1,internal_nested_cv,17
18,1,internal_nested_cv,18
19,1,internal_nested_cv,19
20,1,internal_nested_cv,20
21,1,internal_nested_cv,21
22,1,internal_nested_cv,22
23,1,internal_nested_cv,23
24,1,internal_nested_cv,24
25,1,internal_nested_cv,25
26,1,internal_nested_cv,26
27,1,internal_nested_cv,27
28,1,internal_nested_cv,28
29,1,internal_nested_cv,29
30,1,internal_nested_cv,30
31,1,internal_nested_cv,31
32,1,internal_nested_cv,32
33,1,internal_nested_cv,33
34,1,internal_nested_cv,34
35,1,internal_nested_cv,35
36,1,internal_nested_cv,36
37,1,internal_nested_cv,37
38,1,internal_nested_cv,38
39,1,internal_nested_cv,39
40,1,internal_nested_cv,40
41,1,internal_nested_cv,41
42,1,internal_nested_cv,42
43,1,internal_nested_cv,43
44,1,internal_nested_cv,44
45,1,internal_nested_cv,45
46,1,internal_nested_cv,46
47,1,internal_nested_cv,47
48,1,internal_nested_cv,48
49,1,internal_nested_cv,49
50,1,internal_nested_cv,50
51,1,internal_nested_cv,51
52,1,internal_nested_cv,52
53,1,internal_nested_cv,53
54,1,internal_nested_cv,54
55,1,internal_nested_cv,55
56,1,internal_nested_cv,56
57,1,internal_nested_cv,57
58,1,internal_nested_cv,58
59,1,internal_nested_cv,59
60,1,internal_nested_cv,60
61,1,internal_nested_cv,61
62,1,internal_nested_cv,62
63,1,internal_nested_cv,63
64,1,internal_nested_cv,64
65,1,internal_nested_cv,65
66,1,internal_nested_cv,66
67,1,internal_nested_cv,67
68,1,internal_nested_cv,68
69,1,internal_nested_cv,69
70,1,internal_nested_cv,70
71,1,internal_nested_cv,71
72,1,internal_nested_cv,72
73,1,internal_nested_cv,73
74,1,internal_nested_cv,74
75,1,internal_nested_cv,75
76,1,internal_nested_cv,76
77,1,internal_nested_cv,77
78,1,internal_nested_cv,78
79,1,internal_nested_cv,79
80,1,internal_nested_cv,80
81,1,external_excluded,-1
82,1,external_excluded,-1
83,1,external_excluded,-1
84,1,external_excluded,-1
85,1,external_excluded,-1
86,1,external_excluded,-1
87,0,internal_nested_cv,0
88,0,internal_nested_cv,0
89,0,internal_nested_cv,0
90,0,internal_nested_cv,0
91,0,internal_nested_cv,0
92,0,internal_nested_cv,0
93,0,internal_nested_cv,0
94,0,internal_nested_cv,0
95,0,internal_nested_cv,0
96,0,internal_nested_cv,0
97,0,internal_nested_cv,1
98,0,internal_nested_cv,1
99,0,internal_nested_cv,1
100,0,internal_nested_cv,1
101,0,internal_nested_cv,1
102,0,internal_nested_cv,1
103,0,internal_nested_cv,1
104,0,internal_nested_cv,1
105,0,internal_nested_cv,1
106,0,internal_nested_cv,1
107,0,internal_nested_cv,2
108,0,internal_nested_cv,2
109,0,internal_nested_cv,2
110,0,internal_nested_cv,2
111,0,internal_nested_cv,2
112,0,internal_nested_cv,2
113,0,internal_nested_cv,2
114,0,internal_nested_cv,2
115,0,internal_nested_cv,2
116,0,internal_nested_cv,2
117,0,internal_nested_cv,3
118,0,internal_nested_cv,3
119,0,internal_nested_cv,3
120,0,internal_nested_cv,3
121,0,internal_nested_cv,3
122,0,internal_nested_cv,3
123,0,internal_nested_cv,3
124,0,internal_nested_cv,3
125,0,internal_nested_cv,3
126,0,internal_nested_cv,3
127,0,internal_nested_cv,4
128,0,internal_nested_cv,4
129,0,internal_nested_cv,4
130,0,internal_nested_cv,4
131,0,internal_nested_cv,4
132,0,internal_nested_cv,4
133,0,internal_nested_cv,4
134,0,internal_nested_cv,4
135,0,internal_nested_cv,4
136,0,internal_nested_cv,4
137,0,internal_nested_cv,5
138,0,internal_nested_cv,5
139,0,internal_nested_cv,5
140,0,internal_nested_cv,5
141,0,internal_nested_cv,5
142,0,internal_nested_cv,5
143,0,internal_nested_cv,5
144,0,internal_nested_cv,5
145,0,internal_nested_cv,5
146,0,internal_nested_cv,5
147,0,internal_nested_cv,6
148,0,internal_nested_cv,6
149,0,internal_nested_cv,6
150,0,internal_nested_cv,6
151,0,internal_nested_cv,6
152,0,internal_nested_cv,6
153,0,internal_nested_cv,6
154,0,internal_nested_cv,6
155,0,internal_nested_cv,6
156,0,internal_nested_cv,6
157,0,internal_nested_cv,7
158,0,internal_nested_cv,7
159,0,internal_nested_cv,7
160,0,internal_nested_cv,7
161,0,internal_nested_cv,7
162,0,internal_nested_cv,7
163,0,internal_nested_cv,7
164,0,internal_nested_cv,7
165,0,internal_nested_cv,7
166,0,internal_nested_cv,7
167,0,internal_nested_cv,8
168,0,internal_nested_cv,8
169,0,internal_nested_cv,8
170,0,internal_nested_cv,8
171,0,internal_nested_cv,8
172,0,internal_nested_cv,8
173,0,internal_nested_cv,8
174,0,internal_nested_cv,8
175,0,internal_nested_cv,8
176,0,internal_nested_cv,8
177,0,internal_nested_cv,9
178,0,internal_nested_cv,9
179,0,internal_nested_cv,9
180,0,internal_nested_cv,9
181,0,internal_nested_cv,9
182,0,internal_nested_cv,9
183,0,internal_nested_cv,9
184,0,internal_nested_cv,9
185,0,internal_nested_cv,9
186,0,internal_nested_cv,9
187,0,internal_nested_cv,10
188,0,internal_nested_cv,10
189,0,internal_nested_cv,10
190,0,internal_nested_cv,10
191,0,internal_nested_cv,10
192,0,internal_nested_cv,10
193,0,internal_nested_cv,10
194,0,internal_nested_cv,10
195,0,internal_nested_cv,10
196,0,internal_nested_cv,10
197,0,internal_nested_cv,11
198,0,internal_nested_cv,11
199,0,internal_nested_cv,11
200,0,internal_nested_cv,11
201,0,internal_nested_cv,11
202,0,internal_nested_cv,11
203,0,internal_nested_cv,11
204,0,internal_nested_cv,11
205,0,internal_nested_cv,11
206,0,internal_nested_cv,11
207,0,internal_nested_cv,12
208,0,internal_nested_cv,12
209,0,internal_nested_cv,12
210,0,internal_nested_cv,12
211,0,internal_nested_cv,12
212,0,internal_nested_cv,12
213,0,internal_nested_cv,12
214,0,internal_nested_cv,12
215,0,internal_nested_cv,12
216,0,internal_nested_cv,12
217,0,internal_nested_cv,13
218,0,internal_nested_cv,13
219,0,internal_nested_cv,13
220,0,internal_nested_cv,13
221,0,internal_nested_cv,13
222,0,internal_nested_cv,13
223,0,internal_nested_cv,13
224,0,internal_nested_cv,13
225,0,internal_nested_cv,13
226,0,internal_nested_cv,13
227,0,internal_nested_cv,14
228,0,internal_nested_cv,14
229,0,internal_nested_cv,14
230,0,internal_nested_cv,14
231,0,internal_nested_cv,14
232,0,internal_nested_cv,14
233,0,internal_nested_cv,14
234,0,internal_nested_cv,14
235,0,internal_nested_cv,14
236,0,internal_nested_cv,14
237,0,internal_nested_cv,15
238,0,internal_nested_cv,15
239,0,internal_nested_cv,15
240,0,internal_nested_cv,15
241,0,internal_nested_cv,15
242,0,internal_nested_cv,15
243,0,internal_nested_cv,15
244,0,internal_nested_cv,15
245,0,internal_nested_cv,15
246,0,internal_nested_cv,15
247,0,internal_nested_cv,16
248,0,internal_nested_cv,16
249,0,internal_nested_cv,16
250,0,internal_nested_cv,16
251,0,internal_nested_cv,16
252,0,internal_nested_cv,16
253,0,internal_nested_cv,16
254,0,internal_nested_cv,16
255,0,internal_nested_cv,16
256,0,internal_nested_cv,16
257,0,internal_nested_cv,17
258,0,internal_nested_cv,17
259,0,internal_nested_cv,17
260,0,internal_nested_cv,17
261,0,internal_nested_cv,17
262,0,internal_nested_cv,17
263,0,internal_nested_cv,17
264,0,internal_nested_cv,17
265,0,internal_nested_cv,17
266,0,internal_nested_cv,17
267,0,internal_nested_cv,18
268,0,internal_nested_cv,18
269,0,internal_nested_cv,18
270,0,internal_nested_cv,18
271,0,internal_nested_cv,18
272,0,internal_nested_cv,18
273,0,internal_nested_cv,18
274,0,internal_nested_cv,18
275,0,internal_nested_cv,18
276,0,internal_nested_cv,18
277,0,internal_nested_cv,19
278,0,internal_nested_cv,19
279,0,internal_nested_cv,19
280,0,internal_nested_cv,19
281,0,internal_nested_cv,19
282,0,internal_nested_cv,19
283,0,internal_nested_cv,19
284,0,internal_nested_cv,19
285,0,internal_nested_cv,19
286,0,internal_nested_cv,19
287,0,internal_nested_cv,20
288,0,internal_nested_cv,20
289,0,internal_nested_cv,20
290,0,internal_nested_cv,20
291,0,internal_nested_cv,20
292,0,internal_nested_cv,20
293,0,internal_nested_cv,20
294,0,internal_nested_cv,20
295,0,internal_nested_cv,20
296,0,internal_nested_cv,20
297,0,internal_nested_cv,21
298,0,internal_nested_cv,21
299,0,internal_nested_cv,21
300,0,internal_nested_cv,21
301,0,internal_nested_cv,21
302,0,internal_nested_cv,21
303,0,internal_nested_cv,21
304,0,internal_nested_cv,21
305,0,internal_nested_cv,21
306,0,internal_nested_cv,21
